OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,TaxParcelIdentificationNumber,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,TotalGHGEmissions,GHGEmissionsIntensity
1.0,NonResidential,Hotel,Mayflower park hotel,405 Olive way,0659000030,DOWNTOWN,1927.0,1.0,12.0,88434.0,0.0,88434.0,Hotel,Hotel,88434.0,RAS,0.0,RAS,0.0,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,3946027.0,1276453.0,False,249.98,2.83
2.0,NonResidential,Hotel,Paramount Hotel,724 Pine street,0659000220,DOWNTOWN,1996.0,1.0,11.0,103566.0,15064.0,88502.0,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,3242851.0,5145082.0,False,295.86,2.86
3.0,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,0659000475,DOWNTOWN,1969.0,1.0,2.0,49289.5,0.0,759392.0,Hotel,Hotel,756493.0,RAS,0.0,RAS,0.0,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,2691883.125,0.0,49526664.0,1493800.0,False,2089.28,2.19
5.0,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,0659000640,DOWNTOWN,1926.0,1.0,10.0,61320.0,0.0,61320.0,Hotel,Hotel,61320.0,RAS,0.0,RAS,0.0,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,2768924.0,1811213.0,False,286.43,4.67
8.0,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,0659000970,DOWNTOWN,1980.0,1.0,18.0,175580.0,62000.0,113580.0,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,5368607.0,8803998.0,False,505.01,2.88
9.0,Nonresidential COS,Other,West Precinct,810 Virginia St,0660000560,DOWNTOWN,1999.0,1.0,2.0,97288.0,37198.0,60090.0,Police Station,Police Station,88830.0,RAS,0.0,RAS,0.0,65.44972577696527,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,7371434.0,4715182.0,False,301.81,3.1
10.0,NonResidential,Hotel,Camlin,1619 9th Avenue,0660000825,DOWNTOWN,1926.0,1.0,11.0,83008.0,0.0,83008.0,Hotel,Hotel,81352.0,RAS,0.0,RAS,0.0,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,2811215.0,2947580.0,False,176.14,2.12
11.0,NonResidential,Other,Paramount Theatre,911 Pine St,0660000955,DOWNTOWN,1926.0,1.0,8.0,102761.0,0.0,102761.0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,RAS,0.0,RAS,0.0,65.44972577696527,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,3636655.0,385189.0,False,221.51,2.16
12.0,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,0939000080,DOWNTOWN,1904.0,1.0,15.0,163984.0,0.0,163984.0,Hotel,Hotel,163984.0,RAS,0.0,RAS,0.0,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,7297919.0,6425900.0,False,392.16,2.39
15.0,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,0942000145,DOWNTOWN,1969.0,1.0,11.0,153163.0,19279.0,133884.0,Hotel,Hotel,133884.0,RAS,0.0,RAS,0.0,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,6187627.0,4591850.0,False,691.26,4.51
16.0,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,0942000165,DOWNTOWN,1998.0,1.0,2.0,333176.0,61161.0,272015.0,Hotel,Hotel,336640.0,RAS,0.0,RAS,0.0,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,18083049.0,2858700.0,False,740.97,2.22
17.0,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,0942000210,DOWNTOWN,1928.0,1.0,9.0,65009.0,0.0,65009.0,Hotel,Hotel,65009.0,RAS,0.0,RAS,0.0,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,1343000.0,3596705.0,False,328.23,5.05
18.0,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,0942000235,DOWNTOWN,1980.0,1.0,2.0,315952.0,57600.0,258352.0,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,RAS,0.0,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,13904183.0,4083440.0,False,648.62,2.05
19.0,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,0942000265,DOWNTOWN,1922.0,1.0,11.0,92190.0,25200.0,66990.0,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,RAS,0.0,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010.0,11179203.0,4870847.5,3832369.0,2046793.0,False,511.39,5.55
21.0,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,0942000275,DOWNTOWN,2004.0,1.0,11.0,412000.0,57000.0,355000.0,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,65.44972577696527,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,17851297.0,0.0,False,181.38,0.44
22.0,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,0942000350,DOWNTOWN,1930.0,1.0,6.0,103911.0,0.0,103911.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,65.44972577696527,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,4453868.0,910180.0,False,433.86,4.18
23.0,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,0942000430,DOWNTOWN,1983.0,1.0,2.0,416281.0,85000.0,331281.0,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,RAS,0.0,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,21225277.0,12331475.0,False,802.89,1.93
24.0,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,0942000510,DOWNTOWN,1907.0,1.0,5.0,57452.0,0.0,57452.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,65.44972577696527,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,3764791.0,2065091.0,False,273.02,4.75
25.0,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,0942000610,DOWNTOWN,1916.0,1.0,10.0,104352.0,0.0,104352.0,Hotel,Hotel,104352.0,RAS,0.0,RAS,0.0,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,5908370.0,815376.0,False,349.32,3.35
26.0,NonResidential,Other,King County Courthouse,516 3RD AVE,0942000860,DOWNTOWN,1916.0,1.0,10.0,540360.0,0.0,540360.0,Courthouse,Courthouse,537150.0,RAS,0.0,RAS,0.0,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,24357833.0,20626631.0,False,1265.29,2.34
27.0,NonResidential,Other,King County Correctional Facility,500 5TH AVE,0942001010,DOWNTOWN,1985.0,1.0,19.0,385274.0,0.0,385274.0,Other,Other,385274.0,RAS,0.0,RAS,0.0,65.44972577696527,124.1999969,128.6000061,229.5,232.8999939,47859812.0,49539212.0,0.0,18257661.0,501636.9951,False,1699.45,4.41
28.0,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,1102000138,SOUTHEAST,1961.0,1.0,2.0,56228.0,0.0,56228.0,K-12 School,K-12 School,58916.0,RAS,0.0,RAS,0.0,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,0.0,936955.0,602523.0,True,38.53,0.69
